sampleA	sampleB	n_avail	n_a	n_b	n_sh	SHa	SHb	SHc	SHs
QU01	QU02	735842	4605	4581	1553	0.3372	0.339	-0.6128	-0.3744
QU01	QU03	637454	4009	3803	1416	0.3532	0.3723	-0.5968	-0.3448
QU01	QU05	702396	4386	4348	1461	0.3331	0.336	-0.6169	-0.3788
QU01	QU06	755116	4805	4990	1721	0.3582	0.3449	-0.6051	-0.3581
QU01	QU07	720361	4543	3647	1351	0.2974	0.3704	-0.6526	-0.3782
QU01	QU08	702437	4390	3965	1388	0.3162	0.3501	-0.6338	-0.3802
QU01	QU09	720778	4539	4526	1642	0.3618	0.3628	-0.5882	-0.3454
QU01	QU10	756107	4820	4713	1555	0.3226	0.3299	-0.6274	-0.3891
QU01	QU11	709056	4455	4581	1718	0.3856	0.375	-0.575	-0.3245
QU01	QU12	727802	4598	4381	1574	0.3423	0.3593	-0.6077	-0.359
QU02	QU03	631621	3900	3764	1314	0.3369	0.3491	-0.6131	-0.3684
QU02	QU05	692801	4286	4261	1591	0.3712	0.3734	-0.5788	-0.3337
QU02	QU06	736459	4591	4833	1648	0.359	0.341	-0.609	-0.3599
QU02	QU07	708553	4420	3567	1253	0.2835	0.3513	-0.6665	-0.399
QU02	QU08	691908	4285	3872	1372	0.3202	0.3543	-0.6298	-0.3752
QU02	QU09	708757	4402	4454	1600	0.3635	0.3592	-0.5908	-0.3465
QU02	QU10	736810	4573	4537	1547	0.3383	0.341	-0.6117	-0.3725
QU02	QU11	698927	4344	4514	1700	0.3913	0.3766	-0.5734	-0.3204
QU02	QU12	715219	4453	4258	1519	0.3411	0.3567	-0.6089	-0.3613
QU03	QU05	613187	3651	3765	1276	0.3495	0.3389	-0.6111	-0.367
QU03	QU06	637698	3800	4183	1436	0.3779	0.3433	-0.6067	-0.3471
QU03	QU07	622846	3728	3139	1044	0.28	0.3326	-0.67	-0.4137
QU03	QU08	612146	3639	3379	1114	0.3061	0.3297	-0.6439	-0.3994
QU03	QU09	621227	3697	3907	1247	0.3373	0.3192	-0.6308	-0.3865
QU03	QU10	637765	3798	3894	1256	0.3307	0.3225	-0.6275	-0.3886
QU03	QU11	617839	3672	3953	1337	0.3641	0.3382	-0.6118	-0.3585
QU03	QU12	626743	3755	3765	1330	0.3542	0.3533	-0.5967	-0.3555
QU05	QU06	702783	4350	4622	1603	0.3685	0.3468	-0.6032	-0.3508
QU05	QU07	680570	4204	3450	1207	0.2871	0.3499	-0.6629	-0.3978
QU05	QU08	666134	4130	3749	1383	0.3349	0.3689	-0.6151	-0.3574
QU05	QU09	680188	4201	4258	1517	0.3611	0.3563	-0.5937	-0.3496
QU05	QU10	702898	4338	4330	1464	0.3375	0.3381	-0.6125	-0.3748
QU05	QU11	672847	4161	4348	1572	0.3778	0.3615	-0.5885	-0.3367
QU05	QU12	686537	4257	4117	1468	0.3448	0.3566	-0.6052	-0.3591
QU06	QU07	720919	4754	3661	1364	0.2869	0.3726	-0.6631	-0.3829
QU06	QU08	702957	4593	3977	1348	0.2935	0.3389	-0.6565	-0.4012
QU06	QU09	721462	4735	4539	1612	0.3404	0.3551	-0.6096	-0.3627
QU06	QU10	757613	5024	4731	1908	0.3798	0.4033	-0.5702	-0.3117
QU06	QU11	709446	4659	4587	1801	0.3866	0.3926	-0.5634	-0.314
QU06	QU12	728575	4827	4378	1613	0.3342	0.3684	-0.6158	-0.3581
