Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	
58500	-14856.615981453408	-14838.40040743394	-18.21557401946757	0.6977181817862342	11.889231730456622	0.006672721574426679	
59250	-14845.713438869956	-14829.829738930583	-15.883699939373884	0.5355078163805439	10.521451320031872	0.006933860600280672	
60000	-14847.142850797938	-14831.134581698347	-16.00826909959102	0.5633130256927874	9.993011868195712	0.006758490681522043	
60750	-14851.681818219153	-14831.265459202581	-20.416359016572347	0.32181656431814415	12.590200496948263	0.0057048810842154855	
61500	-14846.448234800297	-14829.64302998055	-16.80520481974632	0.8074482453639523	10.880220038463472	0.006304589611525287	
62250	-14848.19329426428	-14832.068141251133	-16.125153013145997	0.5006984967891005	11.07913877644867	0.005783811950498746	
63000	-14850.645044329649	-14833.032620088932	-17.612424240717644	0.6205927622722063	11.779549569446905	0.006707648470449493	
63750	-14848.537871903458	-14829.677564464293	-18.860307439164938	0.6548575201690763	12.21552892053017	0.006492831365176322	
64500	-14846.27032385295	-14830.049718182163	-16.220605670787478	0.4625270756431346	10.36178837376129	0.007038009052784805	
65250	-14852.491262713947	-14836.014642717902	-16.476619996044203	0.4451227340445269	10.487656111280776	0.008399725400475185	
66000	-14847.684290562074	-14830.136565280174	-17.547725281900867	0.6036505505972	9.209427566635075	0.00859904840417366	
66750	-14847.726426790903	-14830.107816959016	-17.618609831886996	0.5361811067489383	11.925444129484676	0.006199965526260036	
67500	-14847.37836344191	-14831.02471756138	-16.35364588053054	0.6328172555216126	11.163127689346524	0.006441774650321488	
68250	-14847.035015347288	-14830.694140487707	-16.340874859581156	0.612590931107238	11.127544903109236	0.00702414429883907	
69000	-14847.785572421255	-14831.394665645961	-16.390906775294404	0.4430866435320399	10.824508890999034	0.00714843096794063	
69750	-14848.90207976768	-14831.883820795963	-17.018258971716598	0.6744212870043761	11.486534808714636	0.006059499047299451	
70500	-14852.285687456206	-14832.996096860375	-19.289590595829623	0.987272487481891	11.352547826716332	0.0064246414824934385	
71250	-14846.123677571151	-14829.841497035794	-16.282180535356943	0.44570863359997076	10.863737251748448	0.006153290253782064	
72000	-14849.984985158659	-14832.89290706663	-17.092078092027	0.38018253629205817	11.363373311384226	0.005081568224439288	
72750	-14846.861666284532	-14831.035305091786	-15.826361192747743	0.5397239408744352	10.213742251272464	0.006221483618707444	
73500	-14850.179323244845	-14831.883495753584	-18.295827491260837	0.42893868858889844	9.299910594095584	0.008001218819634618	
74250	-14845.696004458017	-14829.244261266505	-16.451743191512477	0.6626544401283755	11.127412290977205	0.006787834226711193	
75000	-14845.617454672984	-14828.78142202184	-16.836032651142173	0.7989712443118387	10.914505158080196	0.006622160823023467	
75750	-14848.447165299762	-14831.906034458654	-16.5411308411074	0.5785068175540814	11.370370662546295	0.006181455884044782	
76500	-14850.841818525176	-14833.337449191293	-17.504369333882615	0.5427007545831873	11.875829507469078	0.005785362500297703	
77250	-14854.432110896332	-14834.338105026098	-20.094005870235314	0.7530147739115528	12.392450094185971	0.006011829329789864	
78000	-14852.687026325577	-14836.30453627854	-16.38249004703807	0.6427691527534283	11.106756476270562	0.006541843019318569	
78750	-14849.937432730096	-14833.876932066923	-16.060500663171815	0.7003892370114695	10.496580245587854	0.007071789953176403	
79500	-14849.562995109669	-14831.483399514651	-18.079595595017153	0.3038079578356012	11.216430836308962	0.00533137799440292	
80250	-14847.501839125438	-14827.68558949629	-19.81624962914787	0.8347942450971281	12.09049503022487	0.005683448914505288	
81000	-14848.788334284214	-14830.309115331387	-18.47921895282771	0.36702441817762943	12.048457017846765	0.005243421465186845	
81750	-14849.31186665955	-14833.072664540936	-16.239202118612468	0.45920433510296726	10.22524019275252	0.006261338646206783	
82500	-14849.724215472685	-14831.855984267013	-17.868231205671652	0.4244118579230617	11.964053252722932	0.005402306754977627	
83250	-14846.804462473296	-14829.423017750487	-17.381444722808165	0.5838736865104408	11.816156999443832	0.005610436907443574	
84000	-14850.441005018485	-14834.360528845105	-16.08047617337906	0.5430132339001932	11.024380023443866	0.006168719962169915	
84750	-14848.164283128266	-14832.405604972331	-15.758678155934387	0.6374701899114654	10.439255964401026	0.006071817465613884	
85500	-14849.857285157655	-14832.33869281726	-17.51859234039427	0.45730596234640886	11.79932794797035	0.006284187118814909	
86250	-14852.116945031983	-14829.90472568238	-22.21221934960349	0.3030668558419309	13.098333272870994	0.005660557554196839	
87000	-14848.653911277406	-14831.863278912851	-16.79063236455487	0.8555852940626407	10.596919087977243	0.006146398674398687	
87750	-14850.067824243557	-14830.555171664586	-19.512652578971444	0.635795359999673	12.4278630094005	0.006925264992681697	
88500	-14844.071776494391	-14827.66812240245	-16.403654091939753	0.6801102207937139	10.944153439573885	0.00764021120711164	
89250	-14849.27929281682	-14831.66538132993	-17.613911486889762	0.4697148767383875	11.958112977420424	0.005220984886742459	
90000	-14848.081203790542	-14831.046898267698	-17.034305522844882	0.5799487871201396	11.579901859270544	0.006752435603521608	
90750	-14846.301413381132	-14829.084265809066	-17.217147572066672	0.43662667058120935	11.617798664925827	0.006237633496963391	
