Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
59250	-14844.083392384617	-14827.718673788111	-16.364718596506066	0.43425051958813055	10.313823118382869	0.006332141208717827
60000	-14847.031552769353	-14830.92265701837	-16.10889575098439	0.4485811223130184	11.024575379052013	0.004777677055339738
60750	-14851.826943308706	-14835.958420975621	-15.868522333084972	0.5390362395233742	10.116656760682739	0.006123813279746487
61500	-14851.81304665514	-14835.649805810468	-16.16324084467148	0.6268674293465026	10.869308958869677	0.0076968183650781355
62250	-14844.7561206742	-14828.878911114392	-15.877209559806252	0.5921225674965556	10.491114688418119	0.007402173212178494
63000	-14845.470932453456	-14829.569761868112	-15.901170585344873	0.6524737660509835	10.490526295959235	0.007181237902591585
63750	-14844.914557544478	-14827.744053528428	-17.170504016050486	0.8841424207632578	10.776334056090343	0.005975862585000504
64500	-14843.440781337687	-14827.476764743049	-15.964016594638071	0.6847927625573339	10.719056243168447	0.006234420035066017
65250	-14848.205542010935	-14832.243229374044	-15.962312636891951	0.5350833540343687	10.548098893086223	0.007625712044743742
66000	-14851.364031259267	-14828.314345624709	-23.04968563455813	0.6263202549884683	13.427533571745444	0.006165225244759918
66750	-14849.162752820479	-14832.643086382917	-16.51966643756125	0.7709906371236793	10.788244166074586	0.006664617390984714
67500	-14847.927553654008	-14830.685198365158	-17.24235528884997	0.6755048167540577	11.568330522639748	0.006340865819087365
68250	-14849.729993071647	-14832.952116931056	-16.77787614059095	0.6165568225396842	11.415158683860007	0.0067570315948897244
69000	-14847.128811676914	-14829.959354753488	-17.169456923426054	0.37595623711302717	10.164684144304244	0.007045299622175864
69750	-14845.846930967107	-14829.298863503613	-16.54806746349516	0.4966515728749464	9.92526446368815	0.008672365386423006
70500	-14850.356959381852	-14833.644303978346	-16.71265540350578	0.71521925590543	9.545501244206639	0.007789036660588225
71250	-14850.958486758187	-14835.146013614503	-15.812473143683825	0.5120301295667745	10.311435195389251	0.005854686762222236
72000	-14854.825374489437	-14836.468359888007	-18.357014601429448	0.3884069174747152	12.04029371145099	0.005884389372004272
72750	-14849.7913607351	-14832.975836882884	-16.815523852216536	0.512313822712343	11.591264091916532	0.005392603576423712
73500	-14851.322257767259	-14834.750687707306	-16.571570059951526	0.5782665263305048	11.346491284781674	0.006463941092602304
74250	-14856.92384919394	-14839.769604518062	-17.15424467587849	0.6659560158552098	11.447981772421354	0.007165792753734928
75000	-14854.816797922233	-14837.544857987838	-17.271939934395398	0.3712861893629915	10.06939852951912	0.006449123937875188
75750	-14855.013428755325	-14839.207927212245	-15.80550154307991	0.6014089000191358	10.700999639878031	0.006073506782806087
76500	-14849.195406219851	-14832.257136527965	-16.93826969188619	0.5707171917565791	11.503151325643115	0.007075376755369801
77250	-14847.317806465164	-14828.818992394921	-18.498814070243153	0.44606822810705227	12.254072563350697	0.00560493308420825
78000	-14848.091117412598	-14829.486429047385	-18.604688365213164	0.37932154426121634	12.111169161229808	0.00582846129815103
78750	-14847.090121012388	-14830.733725486185	-16.356395526203915	0.5154442034890258	11.096927441866946	0.0073554799864545065
79500	-14850.543425096354	-14834.451448885216	-16.09197621113712	0.6883845454579324	10.657556385062792	0.007038047289520413
80250	-14847.146448989623	-14828.792080341684	-18.35436864793918	0.38064492367200226	11.95331618643429	0.006689232087812275
81000	-14848.115144494664	-14830.58930112399	-17.525843370675652	0.35416273605473186	11.27286464002796	0.006415458771258951
81750	-14855.6506987941	-14837.969082115242	-17.681616678856862	0.35127356906726476	11.349484348923122	0.006535401537691003
82500	-14856.185607537307	-14839.956229020507	-16.22937851680105	0.6696138577032914	10.898895660422944	0.007026887643248209
83250	-14856.997629427306	-14837.274553178771	-19.72307624853402	0.8879652619418487	11.881180355904846	0.005889248194785954
84000	-14854.14082469216	-14837.013800496983	-17.127024195176837	0.6149546244563591	11.547952658864004	0.007013483754039144
84750	-14854.042915359176	-14836.566424179138	-17.476491180037364	0.4521072012073964	11.835862598728415	0.00540460118823441
85500	-14850.459012858699	-14834.503093042385	-15.95591981631358	0.5730521479443017	10.095999880632409	0.006670981047863905
86250	-14854.163657561383	-14833.727688249843	-20.435969311540262	0.4259005530374863	12.930829899803946	0.00500037010148251
87000	-14848.176147359432	-14830.55046538038	-17.625681979053063	0.6387324467771024	11.800085109438726	0.006553002826424948
87750	-14852.255684913145	-14835.50618848547	-16.749496427675204	0.48324294411328284	11.44779699636144	0.00598763187587206
88500	-14848.214342212672	-14832.324938239222	-15.889403973449415	0.6728487557289895	10.246228617367155	0.006741490378477714
89250	-14850.985731202873	-14834.620243139892	-16.36548806297925	0.7174946629926636	9.9604515345118	0.008819172663513205
90000	-14852.19813477725	-14836.214319236778	-15.983815540472076	0.5127265639617871	10.819444670515828	0.006419473680422719
90750	-14852.91713900301	-14836.174932372796	-16.742206630213342	0.8561697986235729	10.413045593193235	0.006638469025029444
91500	-14850.761249111532	-14834.02306152318	-16.73818758835383	0.6963413005786534	9.47354714480053	0.0073304929745742365
92250	-14852.794477219557	-14835.762735524739	-17.031741694819146	0.7940773130110851	11.047127665805581	0.0066443838224001925
93000	-14849.882474157841	-14833.636988030317	-16.245486127523936	0.5132703338551754	11.132115445586344	0.006171826583302183
93750	-14850.532709763038	-14833.55520561708	-16.977504145957305	0.6939138392967512	11.36607904500671	0.006297651291274763
94500	-14851.169245041056	-14835.242688463526	-15.926556577528833	0.6717605402182629	10.582863467256772	0.006483017189631521
95250	-14855.47458072653	-14839.424381109828	-16.050199616702592	0.5513111769667468	10.4961063695692	0.00810148546322242
96000	-14855.955580500651	-14839.566698485833	-16.3888820148179	0.4532575263430886	10.783959312483413	0.00780290552776743
96750	-14849.456870047876	-14833.524373619704	-15.932496428171941	0.6163180726896766	10.770955668372707	0.006577389208435943
97500	-14853.375312007502	-14836.575982869987	-16.799329137514977	0.7013261988537104	11.248627290368066	0.006258433455822582
98250	-14850.385256495358	-14833.790993577544	-16.59426291781285	0.4956894741027486	11.429716559490426	0.005689544264577494
99000	-14848.906185944334	-14831.40424553611	-17.501940408223888	0.48327188359427115	11.860164979362391	0.006026644487944151
99750	-14846.681458092155	-14828.930452832348	-17.75100525980643	0.8728464326529422	11.17540305658097	0.006169642188580928
100500	-14844.09000184517	-14827.911435054875	-16.178566790294177	0.46015717160621744	10.577523341649394	0.006932705626085725
101250	-14843.80578614573	-14827.88577696297	-15.920009182759653	0.6692227953226433	10.613703826506113	0.006585542774024399
102000	-14847.576825648397	-14831.234526487127	-16.342299161270507	0.7769265464054967	10.48771157977846	0.0073526342883179635
102750	-14847.581235514073	-14830.489349955216	-17.091885558857022	0.38255476334129496	10.93935212932573	0.007913162333715883
103500	-14850.79074487307	-14833.007529559192	-17.783215313877882	0.7305927342444225	11.611764827164329	0.0071167828147035445
104250	-14845.993004801452	-14829.492237982606	-16.500766818846387	0.41472647353643527	10.900529972699081	0.00609299371613464
105000	-14847.069898844615	-14829.724365796446	-17.345533048167876	0.44802895491525585	11.672096639760218	0.006601730520350774
105750	-14842.66406182761	-14826.364399630384	-16.29966219722762	0.5781625652335236	11.209191038363896	0.006066973526657224
106500	-14850.072517599898	-14832.705133544237	-17.36738405566116	0.6768613953262974	11.59503524155363	0.006438245195308238
107250	-14846.870904081276	-14830.979341556282	-15.891562524994091	0.49542967337943955	10.35773137698259	0.006078278196179167
108000	-14847.574231768449	-14829.907709368246	-17.66652240020265	0.7884589353320696	11.403218498075647	0.0069009802166550335
108750	-14855.088465121475	-14838.319443969584	-16.76902115189086	0.7979826268240873	9.800607445165191	0.00838008990774392
109500	-14851.600145685134	-14830.542623431687	-21.05752225344549	0.8681166330786292	12.333735022751306	0.006069117468181898
110250	-14849.306619829827	-14833.359909459683	-15.946710370143814	0.5724713716609362	10.412536633818918	0.007618933315829711
111000	-14850.258119700435	-14834.443871345	-15.814248355434682	0.694573328700189	10.258816052184516	0.006156198820117776
111750	-14852.857135389662	-14836.935183648424	-15.921951741238585	0.570482133264563	10.354212591416696	0.007588689452352411
112500	-14849.439543498349	-14832.687685628633	-16.751857869715465	0.8050188678134127	10.91583126735453	0.0057816026420804915
113250	-14855.8073150373	-14836.95437657278	-18.852938464520822	0.4511704998570014	12.37884354312225	0.006053630920576643
114000	-14849.353558021374	-14830.490380422798	-18.863177598576492	0.39215393048109715	12.273391257772873	0.005831343510471597
114750	-14846.843233920286	-14830.529271355434	-16.313962564852687	0.764688097023081	10.761924461606652	0.005674769530504399
115500	-14848.816289476705	-14832.519386640404	-16.296902836299697	0.46757747623491597	10.89765010957532	0.007121659593651675
116250	-14856.19368109467	-14833.367885955535	-22.82579513913443	1.1839853678843493	11.758979237339524	0.005685477412833373
117000	-14846.028236068873	-14830.077155794295	-15.951080274577702	0.7490849164704885	10.304464341619905	0.005761277150548207
117750	-14849.477210661604	-14831.154520834025	-18.322689827578596	0.4079659908120901	12.171437029943155	0.004938833853020665
118500	-14845.784984903756	-14829.890506910788	-15.894477992968588	0.5152792664911298	10.728877132039642	0.006222413384331505
119250	-14846.947980583533	-14830.294768208058	-16.65321237547471	0.7497750843983898	10.872131051715428	0.007449017502663549
120000	-14851.929919170605	-14833.828082899136	-18.101836271470287	0.4003705341323463	9.518847445245838	0.008284996533441502
120750	-14847.968180708356	-14830.736413633247	-17.23176707510985	0.5072770982443923	11.704199818440221	0.006553982776551452
121500	-14850.91264624566	-14830.991825240122	-19.92082100553797	0.5163897843137176	12.796574841445388	0.004845736756487716
122250	-14848.894022459219	-14832.385296820266	-16.508725638952534	0.8128193942950859	10.476038260208533	0.006483755562312111
123000	-14845.644822171991	-14829.419707648229	-16.225114523762073	0.5958865586169093	9.831505218350541	0.007362718566292755
123750	-14845.682153240661	-14828.335622284108	-17.34653095655358	0.5964160256056437	11.760496006146143	0.006011600077702719
124500	-14845.163849744855	-14828.258468242928	-16.905381501926517	0.8559813191132543	10.303281310738193	0.008524062758592282
125250	-14844.316396638023	-14827.759326445226	-16.557070192797674	0.6449321594322517	11.321655535968382	0.005770454931715147
126000	-14843.955189828484	-14827.585927319364	-16.369262509120066	0.6310360629682619	9.685549581110708	0.0072870478724089745
126750	-14854.786488065249	-14838.56616684081	-16.220321224438397	0.5870228896175508	11.043592184356225	0.007113177350691797
127500	-14849.564587165089	-14832.752658958887	-16.811928206201703	0.7491404523664141	11.069159348805698	0.006731229956724107
128250	-14845.673431289939	-14829.838121728717	-15.835309561221367	0.5768678903293947	10.135885423719602	0.006701997892358023
129000	-14849.01040805065	-14830.969250174958	-18.04115787569217	0.5455384125335856	12.043768458434204	0.007056291376274284
129750	-14845.840051245314	-14828.448488289154	-17.39156295616025	0.38510070256135576	11.39699358911831	0.0071590825246390585
130500	-14849.67664379395	-14830.300914283685	-19.375729510264062	0.4546131439877997	12.594737868936203	0.005269058711136236
131250	-14854.048105861486	-14837.219437220067	-16.828668641419192	0.44904233436313373	11.448430804094096	0.005936443414735545
132000	-14853.256237057703	-14835.977111239317	-17.279125818386138	0.40412624525229757	11.485129304507602	0.006416634822145556
132750	-14850.29908571455	-14834.048889368256	-16.250196346294462	0.7156987936282057	10.74012306094018	0.007132061785736973
133500	-14846.509057146175	-14830.418503780877	-16.090553365299044	0.5710568819211435	11.11436285361703	0.005638586982661939
134250	-14846.408784279094	-14830.17695954858	-16.23182473051314	0.6264257130483846	11.061948623049926	0.006476607377032644
135000	-14849.520591382878	-14829.132658370509	-20.387933012369537	1.2682994637180864	9.506379249994232	0.008131700974002861
135750	-14852.844357696173	-14835.29105757306	-17.553300123112233	0.34697319609823724	10.990787467338912	0.00783624510054803
136500	-14848.695040286537	-14831.647278645502	-17.047761641034526	0.7889859823866586	10.995736407596793	0.007424153126029771
137250	-14848.585337224818	-14832.552367545897	-16.032969678920594	0.5068775051451476	10.75372152421006	0.0068895418952905916
138000	-14846.981769131173	-14831.098593119694	-15.883176011479511	0.5713796565690794	10.879037514370706	0.0059863059744892245
138750	-14849.972857448187	-14830.9321550632	-19.04070238498678	0.5633681745930077	12.507521623105095	0.004501069512797473
139500	-14848.159475737164	-14828.782628919049	-19.376846818115702	0.46983280663572696	12.593172284782652	0.005436441830308869
140250	-14851.106430094349	-14835.417125432365	-15.689304661983522	0.5963835294130726	10.358895297648836	0.005781821787302132
141000	-14849.344900715018	-14832.695107409772	-16.64979330524542	0.4820004433914764	11.539783469704002	0.00458548784920654
141750	-14861.496569454062	-14844.335438660728	-17.161130793333648	0.5623657365525766	11.70776420076388	0.005631248249717802
142500	-14848.18400293702	-14831.820007766328	-16.363995170692142	0.7174016668272509	10.921391068393811	0.00609848940760588
143250	-14849.868264186094	-14833.650320425862	-16.217943760231588	0.5860660708231519	11.194280201487599	0.0056192992489494204
144000	-14847.68778238747	-14827.5322709129	-20.15551147456953	0.4042328529465487	12.770843642304232	0.0055667589751732605
144750	-14851.799724113263	-14834.11878562444	-17.680938488823777	0.44679323452057434	11.979482418621963	0.0048934066117120945
145500	-14849.65978891055	-14833.40070294073	-16.25908596982126	0.805052801092656	10.482608668408846	0.0053386271151199685
146250	-14850.744088654374	-14833.991314253355	-16.752774401018566	0.8194504276352069	10.887472902141079	0.005020935181994799
147000	-14851.640153947112	-14833.40255670396	-18.237597243150052	0.7147486169617351	11.911784467415863	0.005510884693221918
147750	-14856.553845768163	-14836.536577251765	-20.01726851639788	0.4860047290410295	12.819037509306371	0.005088910606940701
148500	-14845.610657263804	-14828.75204103417	-16.858616229633995	0.396866410787641	11.108308447264	0.006389377636879991
149250	-14848.904502745145	-14832.73665232699	-16.167850418153982	0.6403287983695413	10.869018323985829	0.007393314080970847
150000	-14849.82657819404	-14833.100037018474	-16.72654117556613	0.4094203162933889	11.0194823543176	0.006720777237229787
150750	-14850.73885949992	-14834.473353929521	-16.2655055703985	0.7507252880208927	10.272759105040594	0.007884805229007787
151500	-14848.49032043256	-14831.267461013324	-17.222859419235796	0.5132000956510147	11.674271185156382	0.007154832155579645
152250	-14849.787356649707	-14832.243540729547	-17.543815920159485	0.6215048936705243	11.740213095325936	0.007404613396982009
153000	-14846.690393353718	-14830.658263978145	-16.03212937557396	0.5980483236320118	10.068383151928874	0.007771071920695665
153750	-14852.873717069218	-14836.148661086167	-16.72505598305261	0.8326187187528391	10.8576371328587	0.005025877238393673
154500	-14845.383591087437	-14827.389725369201	-17.99386571823534	0.6905972552916905	11.871402349033978	0.005880026407576551
155250	-14846.385625837791	-14830.602108995061	-15.783516842730354	0.5443160759262429	10.728563015699354	0.005943301243409656
156000	-14854.685437066617	-14837.243822770779	-17.441614295838747	0.9226891640967246	10.732754361835333	0.005916535821117174
156750	-14848.20326574053	-14831.585728540478	-16.61753720005224	0.6388268010607949	11.355130154875196	0.00598632253448167
157500	-14847.913245424683	-14831.870071608815	-16.043173815868023	0.490447624578152	10.677710652996515	0.00684690646587133
158250	-14849.497845288684	-14832.137527435669	-17.3603178530151	0.8502925147898017	9.423446573745652	0.007743369417425992
159000	-14845.929937718867	-14828.25174730081	-17.678190418057067	0.44185227883454836	11.919001395541796	0.0055960703848327055
159750	-14852.337553397814	-14836.105247605747	-16.23230579206825	0.5750359529292803	11.359966721120827	0.004610682993906292
160500	-14843.11842256879	-14826.85947729806	-16.25894527073092	0.5404505699180625	11.18832064180672	0.006287303213340573
161250	-14845.40139376608	-14829.388068298507	-16.013325467573317	0.49862627194337134	10.601488781797373	0.00707788571508063
162000	-14845.378661255487	-14828.990521743837	-16.388139511650376	0.651320525249376	9.801420654322861	0.009025521060879458
162750	-14847.910029307215	-14828.417685923361	-19.492343383853317	0.8369930241278906	11.937659469441234	0.00716185009893334
163500	-14847.32936578311	-14830.548992309365	-16.780373473743836	0.5171865455916438	11.52249446568122	0.006034751642668526
164250	-14854.091312078257	-14837.858584360187	-16.23272771807086	0.7581754863223277	10.556571180798251	0.00636726706967417
165000	-14848.787845981136	-14832.224258759186	-16.56358722194941	0.6551167478494535	11.255054390283046	0.006280536451433822
165750	-14850.028912300342	-14831.326041118547	-18.70287118179528	0.9064949371241781	11.483235320563262	0.005718135855527439
